zona,estudios,seguidores_instagram_promedio,puntaje_promedio,resenas_promedio,presencia_digital_media,canales_contacto_medios,porcentaje
Norte,179,4314.438271604939,4.820121951219512,38.201219512195124,1.4022346368715084,2.2569832402234637,44.86
Oeste,124,2147.9908256880735,4.791964285714286,36.830357142857146,1.2419354838709677,2.096774193548387,31.08
Centro,67,2319.3015873015875,4.811111111111112,35.38095238095238,1.2388059701492538,2.1044776119402986,16.79
Sur,22,2013.0,4.783333333333333,25.333333333333332,1.0909090909090908,1.9545454545454546,5.51
,7,651.6,4.716666666666666,38.666666666666664,1.0,1.8571428571428572,1.75
