indicador,valor
Cantidad de estudios,399.0
Con puntaje,363.0
Sin puntaje,36.0
Puntaje promedio,4.81
Puntaje mínimo,3.0
Puntaje máximo,5.2
Estudios con reseñas,363.0
Reseñas promedio,36.66
Mediana de reseñas,26.0
Máximo de reseñas,457.0
Con Instagram,360.0
Seguidores promedio,3124.21
Mediana de seguidores,1352.0
Máximo de seguidores,105000.0
