id_marca,marca_canonica,alias,instagram,sitio_web,estado
337,Teseo.Pilates Funcional,Teseo.Pilates Funcional,,,activa
338,The Pilates Studio,The Pilates Studio,,,activa
339,Toulouse Pilates Chacabuco,Toulouse Pilates Chacabuco,,,activa
340,Toulouse Pilates Colegiales,Toulouse Pilates Colegiales,,,activa
341,Toulouse Pilates Palermo,Toulouse Pilates Palermo,,,activa
342,Triskel Wellness Center,Triskel Wellness Center,,,activa
343,Tu Espacio De Pilates Y Estética,Tu Espacio de Pilates y Estética,,,activa
344,Tu Mundo Pilates,Tu mundo Pilates,,,activa
345,Tu Mundo Pilates,Tu mundo pilates,,,activa
346,Udana Pilates Studio,Udana Pilates Studio,,,activa
347,Umana Pilates Caballito,Umana Pilates Caballito,,,activa
348,V.A. Pilates & Stretching,V.A. Pilates & Stretching,,,activa
349,Valu Pilates Reformer Funcional,VALU pilates reformer funcional,,,activa
350,Vic Pilates Arg,VIC Pilates Arg,,,activa
351,Valestar Bien,Valestar bien,,,activa
352,Vení A Pilates Estudio,Vení a Pilates Estudio,,,activa
353,Vive!Pilates Estudio,ViVe!PiLaTeS Estudio,,,activa
354,Vibra Pilates,Vibra Pilates,,,activa
355,Vibra Pilates Consiente,Vibra Pilates Consiente,,,activa
356,Vida Pilates,Vida Pilates,,,activa
357,Vidamí Pilates Mat,Vidamí Pilates Mat,,,activa
358,Vita Pilates Studio,Vita Pilates Studio,,,activa
359,Vita Terapia Corporal,Vita Terapia Corporal,,,activa
360,Vital Pilates,Vital Pilates,,,activa
361,Vitalife Pilates,Vitalife Pilates,,,activa
362,Yb Estudio Pilates,YB estudio Pilates,,,activa
363,Yoga Y Pilates,Yoga y Pilates,,,activa
364,Yoga Y Pilates Villa Luro,Yoga y Pilates Villa Luro,,,activa
365,Yola_Juana,Yola_juana,,,activa
366,Zona Pilates,ZONA PILATES,,,activa
367,Zentir Pilates Reformer,Zentir Pilates Reformer,,,activa
368,"Aires Up! Fitness Y Pilates, Sede Barrio Norte","aires up! Fitness y Pilates, Sede Barrio Norte",,,activa
369,~Kale~ Pilates&Nutrición,~KALE~ Pilates&Nutrición,,,activa
370,Ágape Unisex Pilates,Ágape Unisex Pilates,,,activa
371,Âme Pilates Body Ballet,ÂME Pilates Body Ballet,,,activa
372,Étoile Pilates Studio,Étoile Pilates Studio,,,activa
